;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Status Quo;;FW-Szenario 1 - Nur Versorgung der Altstadt;;;;;;;FW-Szenario 2  - Versorgung von Altstadt & Zusmmenschluss WHHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;4;441;;1.022;1.457;1.874;2.268;2.646;3.007;;1.022;1.457;2.262;4.112;4.827;5.510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;5;464;;1.026;1.462;1.880;2.276;2.655;3.017;;1.026;1.462;2.270;4.126;4.843;5.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;6;460;;1.028;1.466;1.886;2.283;2.664;3.027;;1.028;1.466;2.277;4.140;4.861;5.549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;7;649;;1.031;1.469;1.890;2.289;2.671;3.035;;1.031;1.469;2.283;4.151;4.874;5.564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;8;715;;1.035;1.475;1.898;2.298;2.681;3.047;;1.035;1.475;2.292;4.167;4.893;5.586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;9;793;;1.038;1.480;1.905;2.306;2.691;3.058;;1.038;1.480;2.300;4.183;4.910;5.606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;10;779;;1.042;1.486;1.912;2.315;2.701;3.070;;1.042;1.486;2.309;4.199;4.930;5.628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;11;769;;1.046;1.491;1.918;2.323;2.710;3.080;;1.046;1.491;2.317;4.213;4.946;5.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;12;760;;1.049;1.496;1.924;2.330;2.719;3.090;;1.049;1.496;2.324;4.226;4.962;5.664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;13;725;;1.052;1.500;1.930;2.338;2.727;3.100;;1.052;1.500;2.331;4.240;4.977;5.683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;14;734;;1.054;1.503;1.934;2.342;2.733;3.106;;1.054;1.503;2.336;4.248;4.988;5.694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;15;686;;1.056;1.506;1.938;2.347;2.738;3.112;;1.056;1.506;2.340;4.257;4.998;5.705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;16;679;;1.058;1.508;1.940;2.349;2.741;3.115;;1.058;1.508;2.343;4.261;5.002;5.711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;17;647;;1.058;1.508;1.941;2.350;2.742;3.116;;1.058;1.508;2.344;4.262;5.004;5.713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;18;629;;1.058;1.508;1.940;2.349;2.741;3.115;;1.058;1.508;2.343;4.261;5.002;5.711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;19;578;;1.057;1.507;1.939;2.347;2.739;3.113;;1.057;1.507;2.341;4.257;4.998;5.706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;20;596;;1.055;1.504;1.935;2.344;2.734;3.108;;1.055;1.504;2.337;4.250;4.990;5.697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;21;593;;1.053;1.502;1.932;2.340;2.730;3.102;;1.053;1.502;2.333;4.243;4.981;5.687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;22;611;;1.051;1.499;1.928;2.335;2.724;3.096;;1.051;1.499;2.328;4.235;4.971;5.676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;23;592;;1.047;1.493;1.921;2.326;2.714;3.085;;1.047;1.493;2.320;4.219;4.953;5.655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;18;24;513;;1.043;1.487;1.913;2.316;2.702;3.071;;1.043;1.487;2.310;4.201;4.932;5.630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;1;500;;1.038;1.480;1.904;2.306;2.690;3.057;;1.038;1.480;2.299;4.181;4.909;5.604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;2;490;;1.033;1.473;1.895;2.294;2.677;3.042;;1.033;1.473;2.288;4.161;4.885;5.577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;3;500;;1.027;1.465;1.884;2.282;2.662;3.026;;1.027;1.465;2.275;4.138;4.858;5.546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;4;492;;1.021;1.455;1.872;2.267;2.645;3.007;;1.021;1.455;2.261;4.112;4.828;5.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;5;523;;1.014;1.445;1.860;2.252;2.627;2.986;;1.014;1.445;2.246;4.084;4.795;5.474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;6;501;;1.005;1.433;1.844;2.232;2.605;2.960;;1.005;1.433;2.226;4.049;4.753;5.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;7;708;;998;1.423;1.831;2.217;2.586;2.939;;998;1.423;2.210;4.020;4.719;5.388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;8;770;;987;1.407;1.810;2.192;2.557;2.907;;987;1.407;2.186;3.975;4.667;5.328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;9;853;;975;1.391;1.789;2.167;2.528;2.873;;975;1.391;2.161;3.929;4.613;5.267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;10;830;;962;1.372;1.765;2.137;2.493;2.834;;962;1.372;2.131;3.875;4.550;5.194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;11;816;;949;1.353;1.740;2.107;2.458;2.794;;949;1.353;2.101;3.821;4.486;5.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;12;809;;934;1.331;1.713;2.074;2.420;2.750;;934;1.331;2.068;3.761;4.416;5.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;13;758;;917;1.307;1.681;2.036;2.375;2.699;;917;1.307;2.030;3.692;4.334;4.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;14;764;;901;1.285;1.653;2.001;2.335;2.653;;901;1.285;1.995;3.629;4.260;4.863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;15;699;;883;1.258;1.619;1.960;2.287;2.599;;883;1.258;1.954;3.554;4.172;4.763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;16;684;;867;1.237;1.591;1.927;2.248;2.555;;867;1.237;1.921;3.494;4.102;4.683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;17;643;;851;1.214;1.562;1.891;2.206;2.507;;851;1.214;1.886;3.429;4.026;4.596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;18;616;;837;1.193;1.535;1.859;2.168;2.465;;837;1.193;1.853;3.371;3.957;4.517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;19;552;;824;1.174;1.510;1.829;2.134;2.425;;824;1.174;1.824;3.316;3.893;4.445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;20;570;;811;1.156;1.488;1.801;2.101;2.388;;811;1.156;1.796;3.266;3.834;4.377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;21;562;;800;1.141;1.468;1.777;2.074;2.357;;800;1.141;1.772;3.223;3.784;4.320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;22;555;;790;1.126;1.448;1.754;2.046;2.325;;790;1.126;1.749;3.180;3.733;4.262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;23;525;;779;1.110;1.428;1.729;2.017;2.293;;779;1.110;1.724;3.135;3.681;4.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;19;24;443;;768;1.095;1.409;1.706;1.990;2.262;;768;1.095;1.701;3.093;3.632;4.146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;1;426;;760;1.084;1.394;1.688;1.970;2.238;;760;1.084;1.684;3.061;3.594;4.103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;2;407;;754;1.074;1.382;1.673;1.952;2.218;;754;1.074;1.668;3.033;3.561;4.065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;3;406;;748;1.066;1.371;1.660;1.937;2.201;;748;1.066;1.655;3.010;3.533;4.034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;4;390;;743;1.059;1.362;1.649;1.923;2.186;;743;1.059;1.644;2.989;3.509;4.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;5;394;;740;1.054;1.355;1.640;1.913;2.174;;740;1.054;1.636;2.973;3.490;3.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;6;397;;736;1.049;1.348;1.632;1.904;2.163;;736;1.049;1.628;2.958;3.472;3.963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;7;546;;734;1.045;1.344;1.627;1.897;2.156;;734;1.045;1.622;2.948;3.460;3.950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;8;604;;731;1.041;1.339;1.620;1.890;2.147;;731;1.041;1.616;2.936;3.446;3.934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;9;657;;729;1.038;1.334;1.615;1.884;2.141;;729;1.038;1.611;2.926;3.435;3.921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;10;633;;727;1.035;1.331;1.611;1.879;2.135;;727;1.035;1.606;2.918;3.425;3.910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;11;598;;726;1.033;1.328;1.607;1.875;2.130;;726;1.033;1.603;2.912;3.419;3.902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;12;556;;725;1.032;1.327;1.606;1.873;2.129;;725;1.032;1.602;2.910;3.416;3.899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;13;528;;726;1.033;1.328;1.608;1.875;2.131;;726;1.033;1.603;2.913;3.420;3.903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;14;494;;728;1.036;1.332;1.612;1.880;2.137;;728;1.036;1.608;2.921;3.429;3.914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;15;483;;731;1.041;1.338;1.619;1.889;2.146;;731;1.041;1.615;2.934;3.444;3.931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;16;447;;735;1.046;1.345;1.628;1.899;2.158;;735;1.046;1.624;2.950;3.463;3.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;17;431;;740;1.053;1.354;1.639;1.912;2.173;;740;1.053;1.635;2.970;3.487;3.980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;18;419;;745;1.060;1.363;1.650;1.925;2.187;;745;1.060;1.645;2.990;3.510;4.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;19;370;;749;1.067;1.372;1.660;1.936;2.200;;749;1.067;1.656;3.008;3.531;4.031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;20;414;;753;1.072;1.378;1.668;1.946;2.211;;753;1.072;1.664;3.023;3.548;4.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;21;405;;756;1.077;1.385;1.676;1.955;2.222;;756;1.077;1.671;3.037;3.565;4.070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;22;394;;760;1.082;1.391;1.684;1.964;2.232;;760;1.082;1.679;3.051;3.582;4.089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;23;373;;763;1.087;1.398;1.692;1.973;2.242;;763;1.087;1.687;3.065;3.598;4.107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;20;24;326;;767;1.092;1.404;1.699;1.982;2.252;;767;1.092;1.695;3.079;3.614;4.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;1;324;;771;1.098;1.411;1.707;1.991;2.262;;771;1.098;1.702;3.091;3.628;4.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;2;321;;774;1.101;1.415;1.712;1.997;2.269;;774;1.101;1.708;3.101;3.639;4.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;3;330;;776;1.104;1.419;1.717;2.002;2.274;;776;1.104;1.712;3.108;3.648;4.164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;4;327;;778;1.106;1.421;1.720;2.006;2.279;;778;1.106;1.715;3.114;3.655;4.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;5;338;;778;1.107;1.423;1.722;2.008;2.281;;778;1.107;1.717;3.118;3.660;4.178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;6;360;;778;1.108;1.424;1.723;2.010;2.284;;778;1.108;1.719;3.122;3.664;4.183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;7;502;;779;1.109;1.425;1.725;2.012;2.286;;779;1.109;1.720;3.124;3.667;4.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;8;570;;780;1.110;1.426;1.726;2.013;2.287;;780;1.110;1.721;3.126;3.670;4.189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;9;627;;780;1.110;1.426;1.726;2.013;2.287;;780;1.110;1.721;3.127;3.670;4.189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;10;612;;780;1.109;1.426;1.725;2.012;2.286;;780;1.109;1.721;3.125;3.668;4.187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;11;591;;779;1.108;1.424;1.723;2.010;2.283;;779;1.108;1.718;3.121;3.663;4.182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;12;567;;777;1.105;1.421;1.719;2.005;2.278;;777;1.105;1.715;3.114;3.655;4.172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;13;556;;774;1.102;1.416;1.714;1.999;2.271;;774;1.102;1.709;3.104;3.644;4.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;14;541;;771;1.097;1.410;1.707;1.990;2.261;;771;1.097;1.702;3.091;3.628;4.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;15;543;;767;1.091;1.402;1.697;1.979;2.248;;767;1.091;1.692;3.073;3.607;4.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;16;519;;762;1.084;1.393;1.686;1.966;2.234;;762;1.084;1.682;3.054;3.584;4.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;17;501;;757;1.076;1.383;1.674;1.952;2.218;;757;1.076;1.670;3.032;3.559;4.062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;18;486;;751;1.069;1.374;1.662;1.938;2.202;;751;1.069;1.658;3.010;3.533;4.033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;19;423;;746;1.061;1.363;1.650;1.924;2.186;;746;1.061;1.645;2.988;3.507;4.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;20;465;;741;1.054;1.355;1.639;1.912;2.172;;741;1.054;1.635;2.969;3.485;3.977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;21;456;;736;1.047;1.346;1.628;1.899;2.157;;736;1.047;1.624;2.949;3.461;3.951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;22;444;;731;1.040;1.336;1.617;1.886;2.143;;731;1.040;1.613;2.929;3.438;3.924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;23;423;;726;1.033;1.327;1.606;1.873;2.128;;726;1.033;1.602;2.909;3.414;3.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;21;24;364;;721;1.025;1.318;1.595;1.860;2.113;;721;1.025;1.590;2.888;3.390;3.870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;1;357;;715;1.018;1.308;1.584;1.847;2.099;;715;1.018;1.579;2.870;3.369;3.846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;2;348;;710;1.012;1.301;1.575;1.837;2.088;;710;1.012;1.571;2.854;3.351;3.825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;3;353;;707;1.007;1.295;1.567;1.828;2.077;;707;1.007;1.563;2.840;3.334;3.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;4;345;;703;1.002;1.288;1.560;1.819;2.067;;703;1.002;1.555;2.827;3.318;3.788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;5;352;;700;998;1.283;1.553;1.812;2.059;;700;998;1.549;2.815;3.304;3.772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;6;368;;697;993;1.277;1.546;1.804;2.050;;697;993;1.542;2.802;3.290;3.755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;7;509;;695;990;1.273;1.541;1.797;2.043;;695;990;1.537;2.793;3.279;3.743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;8;571;;693;987;1.269;1.535;1.791;2.035;;693;987;1.531;2.782;3.265;3.727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;9;621;;690;983;1.264;1.529;1.784;2.027;;690;983;1.525;2.771;3.253;3.713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;10;597;;688;979;1.258;1.523;1.776;2.019;;688;979;1.519;2.759;3.239;3.697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;11;565;;685;975;1.253;1.517;1.769;2.010;;685;975;1.513;2.748;3.226;3.682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;12;531;;682;971;1.248;1.511;1.762;2.002;;682;971;1.507;2.737;3.213;3.668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;13;507;;680;968;1.244;1.506;1.756;1.996;;680;968;1.502;2.728;3.203;3.656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;14;477;;678;965;1.241;1.502;1.752;1.990;;678;965;1.498;2.721;3.194;3.646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;15;473;;676;963;1.238;1.498;1.747;1.985;;676;963;1.494;2.714;3.186;3.637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;16;440;;675;961;1.235;1.495;1.744;1.982;;675;961;1.491;2.709;3.180;3.630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;17;422;;674;960;1.234;1.493;1.742;1.979;;674;960;1.489;2.705;3.176;3.625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;18;405;;673;959;1.232;1.492;1.740;1.977;;673;959;1.488;2.702;3.172;3.621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;19;355;;673;958;1.232;1.491;1.739;1.976;;673;958;1.487;2.701;3.170;3.619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;20;393;;673;958;1.232;1.491;1.739;1.976;;673;958;1.487;2.701;3.170;3.619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;21;384;;673;958;1.232;1.491;1.739;1.976;;673;958;1.487;2.701;3.171;3.620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;22;371;;674;959;1.233;1.492;1.740;1.977;;674;959;1.488;2.703;3.173;3.621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;23;349;;674;960;1.234;1.493;1.741;1.979;;674;960;1.489;2.705;3.175;3.624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;24;304;;675;961;1.235;1.495;1.743;1.981;;675;961;1.490;2.708;3.178;3.628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;23;1;302;;675;962;1.236;1.496;1.745;1.983;;675;962;1.492;2.710;3.181;3.631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
